codbalance;description1;description2;description3;description4;id;level1;level2;level3;level4;nature;subtype
A-A--V-5;A) ACTIVO NO CORRIENTE;;V. Inversiones financieras a largo plazo.;5. Otros activos financieros.;42;A;0;V;5;A;abbreviated
A-A--VI-;A) ACTIVO NO CORRIENTE;;VI. Activos por impuesto diferido.;;43;A;0;VI;;A;normal
A-A--VI-;A) ACTIVO NO CORRIENTE;;VI. Activos por impuesto diferido.;;44;A;0;VI;;A;abbreviated
A-B--I-;B) ACTIVO CORRIENTE;;I. Activos no corrientes mantenidos para la venta.;;45;B;0;I;;A;normal
A-B--I-;B) ACTIVO CORRIENTE;;I. Activos no corrientes mantenidos para la venta.;;46;B;0;I;;A;abbreviated
A-B--II-1;B) ACTIVO CORRIENTE;;II. Existencias.;1. Comerciales.;47;B;0;II;1;A;normal
A-B--II-1;B) ACTIVO CORRIENTE;;II. Existencias.;1. Comerciales.;48;B;0;II;1;A;abbreviated
A-B--II-2;B) ACTIVO CORRIENTE;;II. Existencias.;2. Materias primas y otros aprovisionamientos.;49;B;0;II;2;A;normal
A-B--II-2;B) ACTIVO CORRIENTE;;II. Existencias.;2. Materias primas y otros aprovisionamientos.;50;B;0;II;2;A;abbreviated
A-B--II-3;B) ACTIVO CORRIENTE;;II. Existencias.;3. Productos en curso.;51;B;0;II;3;A;normal
A-B--II-3;B) ACTIVO CORRIENTE;;II. Existencias.;3. Productos en curso.;52;B;0;II;3;A;abbreviated
A-B--II-4;B) ACTIVO CORRIENTE;;II. Existencias.;4. Productos terminados.;53;B;0;II;4;A;normal
A-B--II-4;B) ACTIVO CORRIENTE;;II. Existencias.;4. Productos terminados.;54;B;0;II;4;A;abbreviated
A-B--II-5;B) ACTIVO CORRIENTE;;II. Existencias.;5. Subproductos, residuos y materiales recuperados.;55;B;0;II;5;A;normal
A-B--II-5;B) ACTIVO CORRIENTE;;II. Existencias.;5. Subproductos, residuos y materiales recuperados.;56;B;0;II;5;A;abbreviated
A-B--II-6;B) ACTIVO CORRIENTE;;II. Existencias.;6. Anticipos a proveedores;57;B;0;II;6;A;normal
A-B--II-6;B) ACTIVO CORRIENTE;;II. Existencias.;6. Anticipos a proveedores;58;B;0;II;6;A;abbreviated
A-B--III-1;B) ACTIVO CORRIENTE;;III. Deudores comerciales y otras cuentas a cobrar.;1. Clientes por ventas y prestaciones de servicios.;59;B;0;III;1;A;normal
A-B--III-1;B) ACTIVO CORRIENTE;;III. Deudores comerciales y otras cuentas a cobrar.;1. Clientes por ventas y prestaciones de servicios.;60;B;0;III;1;A;abbreviated
A-B--III-2;B) ACTIVO CORRIENTE;;III. Deudores comerciales y otras cuentas a cobrar.;2. Clientes, empresas del grupo y asociadas.;61;B;0;III;2;A;normal
A-B--III-2;B) ACTIVO CORRIENTE;;III. Deudores comerciales y otras cuentas a cobrar.;2. Clientes, empresas del grupo y asociadas.;62;B;0;III;2;A;abbreviated
A-B--III-3;B) ACTIVO CORRIENTE;;III. Deudores comerciales y otras cuentas a cobrar.;3. Deudores varios.;63;B;0;III;3;A;normal
A-B--III-3;B) ACTIVO CORRIENTE;;III. Deudores comerciales y otras cuentas a cobrar.;3. Deudores varios.;64;B;0;III;3;A;abbreviated
A-B--III-4;B) ACTIVO CORRIENTE;;III. Deudores comerciales y otras cuentas a cobrar.;4. Personal.;65;B;0;III;4;A;normal
A-B--III-4;B) ACTIVO CORRIENTE;;III. Deudores comerciales y otras cuentas a cobrar.;4. Personal.;66;B;0;III;4;A;abbreviated
A-B--III-5;B) ACTIVO CORRIENTE;;III. Deudores comerciales y otras cuentas a cobrar.;5. Activos por impuesto corriente.;67;B;0;III;5;A;normal
A-B--III-5;B) ACTIVO CORRIENTE;;III. Deudores comerciales y otras cuentas a cobrar.;5. Activos por impuesto corriente.;68;B;0;III;5;A;abbreviated
A-B--III-6;B) ACTIVO CORRIENTE;;III. Deudores comerciales y otras cuentas a cobrar.;6. Otros créditos con las Administraciones Públicas.;69;B;0;III;6;A;normal
A-B--III-6;B) ACTIVO CORRIENTE;;III. Deudores comerciales y otras cuentas a cobrar.;6. Otros créditos con las Administraciones Públicas.;70;B;0;III;6;A;abbreviated
A-B--III-7;B) ACTIVO CORRIENTE;;III. Deudores comerciales y otras cuentas a cobrar.;7. Accionistas (socios) por desembolsos exigidos;71;B;0;III;7;A;normal
A-B--III-7;B) ACTIVO CORRIENTE;;III. Deudores comerciales y otras cuentas a cobrar.;7. Accionistas (socios) por desembolsos exigidos;72;B;0;III;7;A;abbreviated
A-B--IV-1;B) ACTIVO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a corto plazo;1. Instrumentos de patrimonio.;73;B;0;IV;1;A;normal
A-B--IV-1;B) ACTIVO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a corto plazo;1. Instrumentos de patrimonio.;74;B;0;IV;1;A;abbreviated
A-B--IV-2;B) ACTIVO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a corto plazo;2. Créditos a empresas.;75;B;0;IV;2;A;normal
A-B--IV-2;B) ACTIVO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a corto plazo;2. Créditos a empresas.;76;B;0;IV;2;A;abbreviated
A-B--IV-3;B) ACTIVO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a corto plazo;3. Valores representativos de deuda.;77;B;0;IV;3;A;normal
A-B--IV-3;B) ACTIVO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a corto plazo;3. Valores representativos de deuda.;78;B;0;IV;3;A;abbreviated
A-B--IV-4;B) ACTIVO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a corto plazo;4. Derivados.;79;B;0;IV;4;A;normal
