codbalance;description1;description2;description3;description4;id;level1;level2;level3;level4;nature;subtype
P-C--III-3;C) PASIVO CORRIENTE;;III. Deudas a corto plazo.;3. Acreedores por arrendamiento financiero.;188;C;0;III;3;P;abbreviated
P-C--III-4;C) PASIVO CORRIENTE;;III. Deudas a corto plazo.;4. Derivados.;189;C;0;III;4;P;normal
P-C--III-4;C) PASIVO CORRIENTE;;III. Deudas a corto plazo.;4. Derivados.;190;C;0;III;4;P;abbreviated
P-C--III-5;C) PASIVO CORRIENTE;;III. Deudas a corto plazo.;5. Otros pasivos financieros.;191;C;0;III;5;P;normal
P-C--III-5;C) PASIVO CORRIENTE;;III. Deudas a corto plazo.;5. Otros pasivos financieros.;192;C;0;III;5;P;abbreviated
P-C--IV-;C) PASIVO CORRIENTE;;IV. Deudas con empresas del grupo y asociadas a corto plazo.;;193;C;0;IV;;P;normal
P-C--IV-;C) PASIVO CORRIENTE;;IV. Deudas con empresas del grupo y asociadas a corto plazo.;;194;C;0;IV;;P;abbreviated
P-C--V-1;C) PASIVO CORRIENTE;;V. Acreedores comerciales y otras cuentas a pagar.;1. Proveedores;195;C;0;V;1;P;normal
P-C--V-1;C) PASIVO CORRIENTE;;V. Acreedores comerciales y otras cuentas a pagar.;1. Proveedores;196;C;0;V;1;P;abbreviated
P-C--V-2;C) PASIVO CORRIENTE;;V. Acreedores comerciales y otras cuentas a pagar.;2. Proveedores, empresas del grupo y asociadas.;197;C;0;V;2;P;normal
P-C--V-2;C) PASIVO CORRIENTE;;V. Acreedores comerciales y otras cuentas a pagar.;2. Proveedores, empresas del grupo y asociadas.;198;C;0;V;2;P;abbreviated
P-C--V-3;C) PASIVO CORRIENTE;;V. Acreedores comerciales y otras cuentas a pagar.;3. Acreedores varios.;199;C;0;V;3;P;normal
P-C--V-3;C) PASIVO CORRIENTE;;V. Acreedores comerciales y otras cuentas a pagar.;3. Acreedores varios.;200;C;0;V;3;P;abbreviated
P-C--V-4;C) PASIVO CORRIENTE;;V. Acreedores comerciales y otras cuentas a pagar.;4. Personal (remuneraciones pendientes de pago).;201;C;0;V;4;P;normal
P-C--V-4;C) PASIVO CORRIENTE;;V. Acreedores comerciales y otras cuentas a pagar.;4. Personal (remuneraciones pendientes de pago).;202;C;0;V;4;P;abbreviated
P-C--V-5;C) PASIVO CORRIENTE;;V. Acreedores comerciales y otras cuentas a pagar.;5. Pasivos por impuesto corriente.;203;C;0;V;5;P;normal
P-C--V-5;C) PASIVO CORRIENTE;;V. Acreedores comerciales y otras cuentas a pagar.;5. Pasivos por impuesto corriente.;204;C;0;V;5;P;abbreviated
P-C--V-6;C) PASIVO CORRIENTE;;V. Acreedores comerciales y otras cuentas a pagar.;6. Otras deudas con las Administraciones Públicas.;205;C;0;V;6;P;normal
P-C--V-6;C) PASIVO CORRIENTE;;V. Acreedores comerciales y otras cuentas a pagar.;6. Otras deudas con las Administraciones Públicas.;206;C;0;V;6;P;abbreviated
P-C--V-7;C) PASIVO CORRIENTE;;V. Acreedores comerciales y otras cuentas a pagar.;7. Anticipos de clientes.;207;C;0;V;7;P;normal
P-C--V-7;C) PASIVO CORRIENTE;;V. Acreedores comerciales y otras cuentas a pagar.;7. Anticipos de clientes.;208;C;0;V;7;P;abbreviated
P-C--VI-;C) PASIVO CORRIENTE;;VI. Periodificaciones a corto plazo.;;209;C;0;VI;;P;normal
P-C--VI-;C) PASIVO CORRIENTE;;VI. Periodificaciones a corto plazo.;;210;C;0;VI;;P;abbreviated
PG-A-1-a-;A) OPERACIONES CONTINUADAS;1. Importe neto de la cifra de negocios.;a) Ventas;;211;A;1;a;;PG;normal
PG-A-1-a-;A) OPERACIONES CONTINUADAS;1. Importe neto de la cifra de negocios.;a) Ventas;;212;A;1;a;;PG;abbreviated
PG-A-1-b-;A) OPERACIONES CONTINUADAS;1. Importe neto de la cifra de negocios.;b) Prestaciones de servicios;;213;A;1;b;;PG;normal
PG-A-1-b-;A) OPERACIONES CONTINUADAS;1. Importe neto de la cifra de negocios.;b) Prestaciones de servicios;;214;A;1;b;;PG;abbreviated
PG-A-10--;A) OPERACIONES CONTINUADAS;10. Excesos de provisiones;;;215;A;10;;;PG;normal
PG-A-10--;A) OPERACIONES CONTINUADAS;10. Excesos de provisiones;;;216;A;10;;;PG;abbreviated
PG-A-11-a-;A) OPERACIONES CONTINUADAS;11. Deterioro y resultado por enajenaciones del inmovilizado;a) Deterioros y pérdidas;;217;A;11;a;;PG;normal
PG-A-11-a-;A) OPERACIONES CONTINUADAS;11. Deterioro y resultado por enajenaciones del inmovilizado;a) Deterioros y pérdidas;;218;A;11;a;;PG;abbreviated
PG-A-11-b-;A) OPERACIONES CONTINUADAS;11. Deterioro y resultado por enajenaciones del inmovilizado;b) Resultados por enajenaciones y otras;;219;A;11;b;;PG;normal
PG-A-11-b-;A) OPERACIONES CONTINUADAS;11. Deterioro y resultado por enajenaciones del inmovilizado;b) Resultados por enajenaciones y otras;;220;A;11;b;;PG;abbreviated
PG-A-12-a-1;A) OPERACIONES CONTINUADAS;12. Ingresos financieros;a) De participaciones en instrumentos de patrimonio;a1) En empresas del grupo y asociadas;221;A;12;a;1;PG;normal
PG-A-12-a-1;A) OPERACIONES CONTINUADAS;12. Ingresos financieros;a) De participaciones en instrumentos de patrimonio;a1) En empresas del grupo y asociadas;222;A;12;a;1;PG;abbreviated
PG-A-12-a-2;A) OPERACIONES CONTINUADAS;12. Ingresos financieros;a) De participaciones en instrumentos de patrimonio;a2) En empresas terceros;223;A;12;a;2;PG;normal
PG-A-12-a-2;A) OPERACIONES CONTINUADAS;12. Ingresos financieros;a) De participaciones en instrumentos de patrimonio;a2) En empresas terceros;224;A;12;a;2;PG;abbreviated
PG-A-12-b-1;A) OPERACIONES CONTINUADAS;12. Ingresos financieros;b) De valores negociables y otros instrumentos financieros;b1) De empresas del grupo y asociadas;225;A;12;b;1;PG;normal
PG-A-12-b-1;A) OPERACIONES CONTINUADAS;12. Ingresos financieros;b) De valores negociables y otros instrumentos financieros;b1) De empresas del grupo y asociadas;226;A;12;b;1;PG;abbreviated
PG-A-12-b-2;A) OPERACIONES CONTINUADAS;12. Ingresos financieros;b) De valores negociables y otros instrumentos financieros;b2) De terceros;227;A;12;b;2;PG;normal
PG-A-12-b-2;A) OPERACIONES CONTINUADAS;12. Ingresos financieros;b) De valores negociables y otros instrumentos financieros;b2) De terceros;228;A;12;b;2;PG;abbreviated
PG-A-13-a-;A) OPERACIONES CONTINUADAS;13. Gastos financieros;a) Por deudas con empresas del grupo y asociadas;;229;A;13;a;;PG;normal
PG-A-13-a-;A) OPERACIONES CONTINUADAS;13. Gastos financieros;a) Por deudas con empresas del grupo y asociadas;;230;A;13;a;;PG;abbreviated
PG-A-13-b-;A) OPERACIONES CONTINUADAS;13. Gastos financieros;b) Por deudas con terceros;;231;A;13;b;;PG;normal
PG-A-13-b-;A) OPERACIONES CONTINUADAS;13. Gastos financieros;b) Por deudas con terceros;;232;A;13;b;;PG;abbreviated
PG-A-13-c-;A) OPERACIONES CONTINUADAS;13. Gastos financieros;c) Por actualización de provisiones;;233;A;13;c;;PG;normal
PG-A-13-c-;A) OPERACIONES CONTINUADAS;13. Gastos financieros;c) Por actualización de provisiones;;234;A;13;c;;PG;abbreviated
PG-A-14-a-;A) OPERACIONES CONTINUADAS;14. Variación de valor razonable en instrumentos financieros;a) Cartera de negociación y otros;;235;A;14;a;;PG;normal
PG-A-14-a-;A) OPERACIONES CONTINUADAS;14. Variación de valor razonable en instrumentos financieros;a) Cartera de negociación y otros;;236;A;14;a;;PG;abbreviated
PG-A-14-b-;A) OPERACIONES CONTINUADAS;14. Variación de valor razonable en instrumentos financieros;b) Imputación al resultado del ejercicio por activos fros. disponibles para la venta;;237;A;14;b;;PG;normal
PG-A-14-b-;A) OPERACIONES CONTINUADAS;14. Variación de valor razonable en instrumentos financieros;b) Imputación al resultado del ejercicio por activos fros. disponibles para la venta;;238;A;14;b;;PG;abbreviated
PG-A-15--;A) OPERACIONES CONTINUADAS;15. Diferencias de cambio;;;239;A;15;;;PG;normal
PG-A-15--;A) OPERACIONES CONTINUADAS;15. Diferencias de cambio;;;240;A;15;;;PG;abbreviated
PG-A-16-a-;A) OPERACIONES CONTINUADAS;16. Deterioro y resultado por enajenaciones de instrumentos financieros;a) Deterioros y pérdidas;;241;A;16;a;;PG;normal
PG-A-16-a-;A) OPERACIONES CONTINUADAS;16. Deterioro y resultado por enajenaciones de instrumentos financieros;a) Deterioros y pérdidas;;242;A;16;a;;PG;abbreviated
PG-A-16-b-;A) OPERACIONES CONTINUADAS;16. Deterioro y resultado por enajenaciones de instrumentos financieros;b) Resultados por enajenaciones y otras;;243;A;16;b;;PG;normal
PG-A-16-b-;A) OPERACIONES CONTINUADAS;16. Deterioro y resultado por enajenaciones de instrumentos financieros;b) Resultados por enajenaciones y otras;;244;A;16;b;;PG;abbreviated
PG-A-17--;A) OPERACIONES CONTINUADAS;17. Impuesto sobre beneficios;;;245;A;17;;;PG;normal
PG-A-17--;A) OPERACIONES CONTINUADAS;17. Impuesto sobre beneficios;;;246;A;17;;;PG;abbreviated
PG-A-2--;A) OPERACIONES CONTINUADAS;2. Variación de existencias de productos terminados y en curso de fabricación;;;247;A;2;;;PG;normal
PG-A-2--;A) OPERACIONES CONTINUADAS;2. Variación de existencias de productos terminados y en curso de fabricación;;;248;A;2;;;PG;abbreviated
PG-A-3--;A) OPERACIONES CONTINUADAS;3. Trabajos realizados por la empresa para su activo;;;249;A;3;;;PG;normal
PG-A-3--;A) OPERACIONES CONTINUADAS;3. Trabajos realizados por la empresa para su activo;;;250;A;3;;;PG;abbreviated
PG-A-4-a-;A) OPERACIONES CONTINUADAS;4. Aprovisionamientos;a) Consumo de mercaderías;;251;A;4;a;;PG;normal
PG-A-4-a-;A) OPERACIONES CONTINUADAS;4. Aprovisionamientos;a) Consumo de mercaderías;;252;A;4;a;;PG;abbreviated
PG-A-4-b-;A) OPERACIONES CONTINUADAS;4. Aprovisionamientos;b) Consumo de materias primas y otras materias consumibles;;253;A;4;b;;PG;normal
PG-A-4-b-;A) OPERACIONES CONTINUADAS;4. Aprovisionamientos;b) Consumo de materias primas y otras materias consumibles;;254;A;4;b;;PG;abbreviated
PG-A-4-c-;A) OPERACIONES CONTINUADAS;4. Aprovisionamientos;c) Trabajos realizados por otras empresas;;255;A;4;c;;PG;normal
PG-A-4-c-;A) OPERACIONES CONTINUADAS;4. Aprovisionamientos;c) Trabajos realizados por otras empresas;;256;A;4;c;;PG;abbreviated
PG-A-4-d-;A) OPERACIONES CONTINUADAS;4. Aprovisionamientos;d) Deterioro de mercaderias , materias primas y otros aprovisioamientos;;257;A;4;d;;PG;normal
PG-A-4-d-;A) OPERACIONES CONTINUADAS;4. Aprovisionamientos;d) Deterioro de mercaderias , materias primas y otros aprovisioamientos;;258;A;4;d;;PG;abbreviated
PG-A-5-a-;A) OPERACIONES CONTINUADAS;5. Otros ingresos de explotación;a) Ingresos accesorios y otros de gestión corriente;;259;A;5;a;;PG;normal
PG-A-5-a-;A) OPERACIONES CONTINUADAS;5. Otros ingresos de explotación;a) Ingresos accesorios y otros de gestión corriente;;260;A;5;a;;PG;abbreviated
PG-A-5-b-;A) OPERACIONES CONTINUADAS;5. Otros ingresos de explotación;b) Subvenciones de explotación incorporadas al resultado del ejercicio;;261;A;5;b;;PG;normal
PG-A-5-b-;A) OPERACIONES CONTINUADAS;5. Otros ingresos de explotación;b) Subvenciones de explotación incorporadas al resultado del ejercicio;;262;A;5;b;;PG;abbreviated
PG-A-6-a-;A) OPERACIONES CONTINUADAS;6. Gastos de personal;a) Sueldos , salarios y asimilados;;263;A;6;a;;PG;normal
PG-A-6-a-;A) OPERACIONES CONTINUADAS;6. Gastos de personal;a) Sueldos , salarios y asimilados;;264;A;6;a;;PG;abbreviated
PG-A-6-b-;A) OPERACIONES CONTINUADAS;6. Gastos de personal;b) Cargas sociales;;265;A;6;b;;PG;normal
PG-A-6-b-;A) OPERACIONES CONTINUADAS;6. Gastos de personal;b) Cargas sociales;;266;A;6;b;;PG;abbreviated
PG-A-6-c-;A) OPERACIONES CONTINUADAS;6. Gastos de personal;c) Provisiones;;267;A;6;c;;PG;normal
PG-A-6-c-;A) OPERACIONES CONTINUADAS;6. Gastos de personal;c) Provisiones;;268;A;6;c;;PG;abbreviated
PG-A-7-a-;A) OPERACIONES CONTINUADAS;7. Otros gastos de explotación;a) Servicios exteriores;;269;A;7;a;;PG;normal
PG-A-7-a-;A) OPERACIONES CONTINUADAS;7. Otros gastos de explotación;a) Servicios exteriores;;270;A;7;a;;PG;abbreviated
PG-A-7-b-;A) OPERACIONES CONTINUADAS;7. Otros gastos de explotación;b) Tributos;;271;A;7;b;;PG;normal
PG-A-7-b-;A) OPERACIONES CONTINUADAS;7. Otros gastos de explotación;b) Tributos;;272;A;7;b;;PG;abbreviated
PG-A-7-c-;A) OPERACIONES CONTINUADAS;7. Otros gastos de explotación;c) Pérdidas , deterioro y variación de provisiones por operaciones comerciales;;273;A;7;c;;PG;normal
PG-A-7-c-;A) OPERACIONES CONTINUADAS;7. Otros gastos de explotación;c) Pérdidas , deterioro y variación de provisiones por operaciones comerciales;;274;A;7;c;;PG;abbreviated
PG-A-7-d-;A) OPERACIONES CONTINUADAS;7. Otros gastos de explotación;d) Otros gastos de gestión corriente;;275;A;7;d;;PG;normal
PG-A-7-d-;A) OPERACIONES CONTINUADAS;7. Otros gastos de explotación;d) Otros gastos de gestión corriente;;276;A;7;d;;PG;abbreviated
PG-A-8--;A) OPERACIONES CONTINUADAS;8. Amortización del inmovilizado;;;277;A;8;;;PG;normal
PG-A-8--;A) OPERACIONES CONTINUADAS;8. Amortización del inmovilizado;;;278;A;8;;;PG;abbreviated
PG-A-9--;A) OPERACIONES CONTINUADAS;9. Imputación de subvenciones de inmovilizado no financiero y otras;;;279;A;9;;;PG;normal
PG-A-9--;A) OPERACIONES CONTINUADAS;9. Imputación de subvenciones de inmovilizado no financiero y otras;;;280;A;9;;;PG;abbreviated
PG-B-18--;B) OPERACIONES INTERRUMPIDAS;18. Resultado del ejercicio procedente de operaciones interrumpidas neto de impuestos;;;281;B;18;;;PG;normal
PG-B-18--;B) OPERACIONES INTERRUMPIDAS;18. Resultado del ejercicio procedente de operaciones interrumpidas neto de impuestos;;;282;B;18;;;PG;abbreviated
A-A-I;A) ACTIVO NO CORRIENTE;I. Inmovilizado intangible.;;;283;A;I;;;A;pymes
A-A-II;A) ACTIVO NO CORRIENTE;II. Inmovilizado material.;;;284;A;II;;;A;pymes
A-A-III;A) ACTIVO NO CORRIENTE;III. Inversiones inmobiliarias.;;;285;A;III;;;A;pymes
A-A-IV;A) ACTIVO NO CORRIENTE;IV. Inversiones en empresas del grupo y asociadas a largo plazo.;;;286;A;IV;;;A;pymes
A-A-V;A) ACTIVO NO CORRIENTE;V. Inversiones financieras a largo plazo.;;;287;A;V;;;A;pymes
A-A-VI;A) ACTIVO NO CORRIENTE;VI. Activos por Impuesto diferido.;;;288;A;VI;;;A;pymes
A-B-I;B) ACTIVO CORRIENTE;I. Existencias.;;;289;B;I;;;A;pymes
A-B-II-1;B) ACTIVO CORRIENTE;II. Deudores comerciales y otras cuentas a cobrar.;1. Clientes por ventas y prestaciones de servicios.;;290;B;II;1;;A;pymes
A-B-II-2;B) ACTIVO CORRIENTE;II. Deudores comerciales y otras cuentas a cobrar.;2. Accionistas (socios) por desembolsos exigidos.;;291;B;II;2;;A;pymes
A-B-II-3;B) ACTIVO CORRIENTE;II. Deudores comerciales y otras cuentas a cobrar.;3. Otros deudores.;;292;B;II;3;;A;pymes
A-B-III;B) ACTIVO CORRIENTE;III. Inversiones en empresas del grupo y asociadas a corto plazo.;;;293;B;III;;;A;pymes
A-B-IV;B) ACTIVO CORRIENTE;IV. Inversiones financieras a corto plazo.;;;294;B;IV;;;A;pymes
A-B-V;B) ACTIVO CORRIENTE;V. Periodificaciones a corto plazo.;;;295;B;V;;;A;pymes
A-B-VI;B) ACTIVO CORRIENTE;VI. Efectivo y otros activos líquidos equivalentes.;;;296;B;VI;;;A;pymes
P-A-1-I-1;A) PATRIMONIO NETO;A-1) Fondos propios.;I. Capital.;1. Capital escriturado.;297;A;A-1;I;1;P;pymes
P-A-1-I-2;A) PATRIMONIO NETO;A-1) Fondos propios.;I. Capital.;2. (Capital no exigido).;298;A;A-1;I;2;P;pymes
P-A-1-II;A) PATRIMONIO NETO;A-1) Fondos propios.;II. Prima de emisión.;;299;A;A-1;II;;P;pymes
P-A-1-III;A) PATRIMONIO NETO;A-1) Fondos propios.;III. Reservas.;;300;A;A-1;III;;P;pymes
P-A-1-IV;A) PATRIMONIO NETO;A-1) Fondos propios.;IV. (Acciones y participaciones en patrimonio propias).;;301;A;A-1;IV;;P;pymes
P-A-1-V;A) PATRIMONIO NETO;A-1) Fondos propios.;V. Resultados de ejercicios anteriores.;;302;A;A-1;V;;P;pymes
P-A-1-VI;A) PATRIMONIO NETO;A-1) Fondos propios.;VI. Otras aportaciones de socios.;;303;A;A-1;VI;;P;pymes
P-A-1-VII;A) PATRIMONIO NETO;A-1) Fondos propios.;VII. Resultado del ejercicio.;;304;A;A-1;VII;;P;pymes
P-A-1-VIII;A) PATRIMONIO NETO;A-1) Fondos propios.;VIII. (Dividendo a cuenta).;;305;A;A-1;VIII;;P;pymes
P-A-2;A) PATRIMONIO NETO;A-2) Subvenciones, donaciones y legados recibidos.;;;306;A;A-2;;;P;pymes
P-B-I;B) PASIVO NO CORRIENTE;I. Provisiones a largo plazo.;;;307;B;I;;;P;pymes
P-B-II-1;B) PASIVO NO CORRIENTE;II. Deudas a largo plazo.;1. Deudas con entidades de crédito.;;308;B;II;1;;P;pymes
P-B-II-2;B) PASIVO NO CORRIENTE;II. Deudas a largo plazo.;2. Acreedores por arrendamiento financiero;;309;B;II;2;;P;pymes
P-B-II-3;B) PASIVO NO CORRIENTE;II. Deudas a largo plazo.;3. Otras deudas a largo plazo.;;310;B;II;3;;P;pymes
P-B-III;B) PASIVO NO CORRIENTE;III. Deudas con empresas del grupo y asociadas a largo plazo.;;;311;B;III;;;P;pymes
P-B-IV;B) PASIVO NO CORRIENTE;IV. Pasivos por impuesto diferido;;;312;B;IV;;;P;pymes
P-B-V;B) PASIVO NO CORRIENTE;V. Periodificaciones a largo plazo;;;313;B;V;;;P;pymes
P-C-I;C) PASIVO CORRIENTE;I. Provisiones a corto plazo.;;;314;C;I;;;P;pymes
P-C-II-1;C) PASIVO CORRIENTE;II. Deudas a corto plazo.;1. Deudas con entidades de crédito.;;315;C;II;1;;P;pymes
P-C-II-2;C) PASIVO CORRIENTE;II. Deudas a corto plazo.;2. Acreedores por arrendamiento financiero;;316;C;II;2;;P;pymes
P-C-II-3;C) PASIVO CORRIENTE;II. Deudas a corto plazo.;3. Otras deudas a corto plazo.;;317;C;II;3;;P;pymes
P-C-III;C) PASIVO CORRIENTE;III. Deudas con empresas del grupo y asociadas a corto plazo.;;;318;C;III;;;P;pymes
P-C-IV-1;C) PASIVO CORRIENTE;IV. Acreedores comerciales y otras cuentas a pagar.;1. Proveedores.;;319;C;IV;1;;P;pymes
P-C-IV-2;C) PASIVO CORRIENTE;IV. Acreedores comerciales y otras cuentas a pagar.;2. Otros acreedores.;;320;C;IV;2;;P;pymes
P-C-V;C) PASIVO CORRIENTE;V. Periodificaciones a corto plazo.;;;321;C;V;;;P;pymes
PG-C-A-1;C) RESULTADO ANTES DE IMPUESTOS;A) RESULTADO DE EXPLOTACIÓN;1. Importe neto de la cifra de negocios.;;322;C;A;1;;PG;pymes
PG-C-A-2;C) RESULTADO ANTES DE IMPUESTOS;A) RESULTADO DE EXPLOTACIÓN;2. Variación de existencias de productos terminados y en curso de fabricación.;;323;C;A;2;;PG;pymes
PG-C-A-3;C) RESULTADO ANTES DE IMPUESTOS;A) RESULTADO DE EXPLOTACIÓN;3. Trabajos realizados por la empresa para su activo.;;324;C;A;3;;PG;pymes
PG-C-A-4;C) RESULTADO ANTES DE IMPUESTOS;A) RESULTADO DE EXPLOTACIÓN;4. Aprovisionamientos.;;325;C;A;4;;PG;pymes
PG-C-A-5;C) RESULTADO ANTES DE IMPUESTOS;A) RESULTADO DE EXPLOTACIÓN;5. Otros ingresos de explotación.;;326;C;A;5;;PG;pymes
PG-C-A-6;C) RESULTADO ANTES DE IMPUESTOS;A) RESULTADO DE EXPLOTACIÓN;6. Gastos de personal.;;327;C;A;6;;PG;pymes
PG-C-A-7;C) RESULTADO ANTES DE IMPUESTOS;A) RESULTADO DE EXPLOTACIÓN;7. Otros gastos de explotación.;;328;C;A;7;;PG;pymes
PG-C-A-8;C) RESULTADO ANTES DE IMPUESTOS;A) RESULTADO DE EXPLOTACIÓN;8. Amortización del inmovilizado.;;329;C;A;8;;PG;pymes
PG-C-A-9;C) RESULTADO ANTES DE IMPUESTOS;A) RESULTADO DE EXPLOTACIÓN;9. Imputación de subvenciones de inmovilizado no financiero y otras.;;330;C;A;9;;PG;pymes
PG-C-A-10;C) RESULTADO ANTES DE IMPUESTOS;A) RESULTADO DE EXPLOTACIÓN;10. Excesos de provisiones.;;331;C;A;10;;PG;pymes
PG-C-A-11;C) RESULTADO ANTES DE IMPUESTOS;A) RESULTADO DE EXPLOTACIÓN;11. Deterioro y resultado por enajenaciones del inmovilizado.;;332;C;A;11;;PG;pymes
PG-C-B-12;C) RESULTADO ANTES DE IMPUESTOS;B) RESULTADO FINANCIERO;12. Ingresos financieros.;;333;C;B;12;;PG;pymes
PG-C-B-13;C) RESULTADO ANTES DE IMPUESTOS;B) RESULTADO FINANCIERO;13. Gastos financieros.;;334;C;B;13;;PG;pymes
PG-C-B-14;C) RESULTADO ANTES DE IMPUESTOS;B) RESULTADO FINANCIERO;14. Variación de valor razonable en instrumentos financieros.;;335;C;B;14;;PG;pymes
PG-C-B-15;C) RESULTADO ANTES DE IMPUESTOS;B) RESULTADO FINANCIERO;15. Diferencias de cambio.;;336;C;B;15;;PG;pymes
PG-C-B-16;C) RESULTADO ANTES DE IMPUESTOS;B) RESULTADO FINANCIERO;16. Deterioro y resultado por enajenaciones de instrumentos financieros.;;337;C;B;16;;PG;pymes
PG-C-D-17;D) RESULTADO DEL EJERCICIO;17. Impuestos sobre beneficios.;;;338;D;17;;;PG;pymes
