codbalance;nature;level1;description1;level2;description2;level3;description3;level4;description4;accounts
P-C-IV-2;P;C;C) PASIVO CORRIENTE;IV;IV. Acreedores comerciales y otras cuentas a pagar.;2;2. Otros acreedores.;;;41, 438, 465, 475, 476, 477
P-C-V;P;C;C) PASIVO CORRIENTE;V;V. Periodificaciones a corto plazo.;;;;;485, 568
P-C-VI;P;C;C) PASIVO CORRIENTE;VI;VI. Deuda con características especiales a corto plazo;;;;;502, 507
PG-C-A-1;PG;C;C) RESULTADO ANTES DE IMPUESTOS;A;A) RESULTADO DE EXPLOTACIÓN;1;1. Importe neto de la cifra de negocios;;;700, 701, 702, 703, 704, 705, 706, 708, 709
PG-C-A-2;PG;C;C) RESULTADO ANTES DE IMPUESTOS;A;A) RESULTADO DE EXPLOTACIÓN;2;2. Variación de existencias de productos terminados y en curso de fabricación;;;6930, 71, 7930
PG-C-A-3;PG;C;C) RESULTADO ANTES DE IMPUESTOS;A;A) RESULTADO DE EXPLOTACIÓN;3;3. Trabajos realizados por la empresa para su activo;;;73
PG-C-A-4;PG;C;C) RESULTADO ANTES DE IMPUESTOS;A;A) RESULTADO DE EXPLOTACIÓN;4;4. Aprovisionamientos;;;600, 601, 602, 606, 607, 608, 609, 61, 6931, 6932, 6933,  7931, 7932, 7933
PG-C-A-5;PG;C;C) RESULTADO ANTES DE IMPUESTOS;A;A) RESULTADO DE EXPLOTACIÓN;5;5. Otros ingresos de explotación;;;740, 747, 75
PG-C-A-6;PG;C;C) RESULTADO ANTES DE IMPUESTOS;A;A) RESULTADO DE EXPLOTACIÓN;6;6. Gastos de personal;;;64
PG-C-A-7;PG;C;C) RESULTADO ANTES DE IMPUESTOS;A;A) RESULTADO DE EXPLOTACIÓN;7;7. Otros gastos de explotación;;;62, 631, 634, 636, 639, 65, 694, 695, 794, 7954
PG-C-A-8;PG;C;C) RESULTADO ANTES DE IMPUESTOS;A;A) RESULTADO DE EXPLOTACIÓN;8;8. Amortización del inmovilizado;;;68
PG-C-A-9;PG;C;C) RESULTADO ANTES DE IMPUESTOS;A;A) RESULTADO DE EXPLOTACIÓN;9;9. Imputación de subvenciones de inmovilizado no financiero y otras;;;746
PG-C-A-10;PG;C;C) RESULTADO ANTES DE IMPUESTOS;A;A) RESULTADO DE EXPLOTACIÓN;10;10. Excesos de provisiones;;;7951, 7952, 7955
PG-C-A-11;PG;C;C) RESULTADO ANTES DE IMPUESTOS;A;A) RESULTADO DE EXPLOTACIÓN;11;11. Deterioro y resultado por enajenaciones del inmovilizado;;;670, 671, 672, 690, 691, 692, 770, 771, 772, 790, 791, 792
PG-C-A-12;PG;C;C) RESULTADO ANTES DE IMPUESTOS;A;A) RESULTADO DE EXPLOTACIÓN;12;12. Otros resultados;;;678, 778
PG-C-B-13-A;PG;C;C) RESULTADO ANTES DE IMPUESTOS;B;B) RESULTADO FINANCIERO;13;13. Ingresos financieros;a;a) Imputación de subvenciones, donaciones y legados de carácter financiero;746
PG-C-B-13-B;PG;C;C) RESULTADO ANTES DE IMPUESTOS;B;B) RESULTADO FINANCIERO;13;13. Ingresos financieros;b;b) Otros ingresos financieros;760, 761, 762, 769
PG-C-B-14;PG;C;C) RESULTADO ANTES DE IMPUESTOS;B;B) RESULTADO FINANCIERO;14;14. Gastos financieros;;;660, 661, 662, 665, 669
PG-C-B-15;PG;C;C) RESULTADO ANTES DE IMPUESTOS;B;B) RESULTADO FINANCIERO;15;15. Variación de valor razonable en instrumentos financieros;;;663, 763
PG-C-B-16;PG;C;C) RESULTADO ANTES DE IMPUESTOS;B;B) RESULTADO FINANCIERO;16;16. Diferencias de cambio;;;668, 768
PG-C-B-17;PG;C;C) RESULTADO ANTES DE IMPUESTOS;B;B) RESULTADO FINANCIERO;17;17. Deterioro y resultado por enajenaciones de instrumentos financieros;;;666, 667, 673, 675, 696, 697, 698, 699, 766, 773, 775, 796, 797, 798, 799
PG-D-18;PG;D;D) RESULTADO DEL EJERCICIO;18;18. Impuestos sobre beneficios;;;;;6300, 6301, 633, 638
