codbalance;nature;subtype;level1;description1;level2;description2;level3;description3;level4;description4
A-B--V-2;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;V;V. Inversiones financieras a corto plazo.;2;2. Créditos a empresas
A-B--V-3;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;V;V. Inversiones financieras a corto plazo.;3;3. Valores representativos de deuda.
A-B--V-4;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;V;V. Inversiones financieras a corto plazo.;4;4. Derivados.
A-B--V-5;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;V;V. Inversiones financieras a corto plazo.;5;5. Otros activos financieros.
A-B--VI-;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;VI;VI. Periodificaciones a corto plazo.;;
A-B--VII-1;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;VII;VII. Efectivo y otros activos líquidos equivalentes.;1;1. Tesorería.
A-B--VII-2;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;VII;VII. Efectivo y otros activos líquidos equivalentes.;2;2. Otros activos líquidos equivalentes.
IG-A--I-1;IG;abbreviated;A;Ingresos y gastos imputados directamente al patrimonio neto;0;;I;I. Por valoración instrumentos financieros.;1;1. Activos financieros disponibles para la venta.
IG-A--I-2;IG;abbreviated;A;Ingresos y gastos imputados directamente al patrimonio neto;0;;I;I. Por valoración instrumentos financieros.;2;2. Otros ingresos/gastos.
IG-A--II-;IG;abbreviated;A;Ingresos y gastos imputados directamente al patrimonio neto;0;;II;II. Por coberturas de flujos de efectivo.;;
IG-A--III-;IG;abbreviated;A;Ingresos y gastos imputados directamente al patrimonio neto;0;;III;III. Subvenciones, donaciones y legados recibidos.;;
IG-A--IV-;IG;abbreviated;A;Ingresos y gastos imputados directamente al patrimonio neto;0;;IV;IV. Por ganancias y pérdidas actuariales y otros ajustes.;;
IG-A--V-;IG;abbreviated;A;Ingresos y gastos imputados directamente al patrimonio neto;0;;V;V. Efecto impositivo.;;
IG-B--IX-;IG;abbreviated;B;Transferencias a la cuenta de pérdidas y ganancias;0;;IX;IX. Efecto impositivo.;;
IG-B--VI-1;IG;abbreviated;B;Transferencias a la cuenta de pérdidas y ganancias;0;;VI;VI. Por valoración de instrumentos financieros.;1;1.Activos financieros disponibles para la venta.
IG-B--VI-2;IG;abbreviated;B;Transferencias a la cuenta de pérdidas y ganancias;0;;VI;VI. Por valoración de instrumentos financieros.;2;2. Otros ingresos/gastos.
IG-B--VII-;IG;abbreviated;B;Transferencias a la cuenta de pérdidas y ganancias;0;;VII;VII. Por coberturas de flujos de efectivo.;;
IG-B--VIII-;IG;abbreviated;B;Transferencias a la cuenta de pérdidas y ganancias;0;;VIII;VIII. Subvenciones, donaciones y legados recibidos.;;
P---VII-2;P;abbreviated;;;0;;VII;VII. Efectivo y otros activos líquidos equivalentes.;2;2. Otros activos líquidos equivalentes.
P-A-1-I-1;P;abbreviated;A;A) PATRIMONIO NETO;1;A-1) Fondos propios.;I;I. Capital.;1;1. Capital escriturado.
P-A-1-I-2;P;abbreviated;A;A) PATRIMONIO NETO;1;A-1) Fondos propios.;I;I. Capital.;2;2. (Capital no exigido).
P-A-1-II-;P;abbreviated;A;A) PATRIMONIO NETO;1;A-1) Fondos propios.;II;II. Prima de emisión.;;
P-A-1-III-1;P;abbreviated;A;A) PATRIMONIO NETO;1;A-1) Fondos propios.;III;III. Reservas.;1;1. Legal y estatutarias.
P-A-1-III-2;P;abbreviated;A;A) PATRIMONIO NETO;1;A-1) Fondos propios.;III;III. Reservas.;2;2. Otras reservas.
P-A-1-IV-;P;abbreviated;A;A) PATRIMONIO NETO;1;A-1) Fondos propios.;IV;IV. (Acciones y participaciones en patrimonio propias).;;
P-A-1-IX-;P;abbreviated;A;A) PATRIMONIO NETO;1;A-1) Fondos propios.;IX;IX. Otros instrumentos de patrimonio neto.;;
P-A-1-V-1;P;abbreviated;A;A) PATRIMONIO NETO;1;A-1) Fondos propios.;V;V. Resultados de ejercicios anteriores.;1;1. Remanente.
